taxon,count,percentage,kingdom,phylum,class,order,family,genus,species,name
9606,8659813,39.06659762646799,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Homo sapiens
1016,2132649,9.620916798259884,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga, ,Capnocytophaga
-1,1692906,7.637125365343733,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
848,1414776,6.382410881572601,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium, ,Fusobacterium
482,746385,3.3671307301244617,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria, ,Neisseria
2,641606,2.8944462699977027,Bacteria, , , , , , ,Bacteria
481,592470,2.672781397907032,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae, , ,Neisseriaceae
838,510302,2.3021008539078,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella, ,Prevotella
327575,373387,1.684442803551763,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga leadbetteri,Capnocytophaga leadbetteri
171549,306862,1.384331772620635,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales, , , ,Bacteroidales
49546,286345,1.291774417917682,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae, , ,Flavobacteriaceae
76857,270514,1.2203567894972283,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Fusobacterium nucleatum subsp. polymorphum
194,260908,1.177021703993667,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, ,Campylobacter
2545799,203001,0.9157886417143912,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp. FDAARGOS_737,Capnocytophaga sp. FDAARGOS_737
1658672,202762,0.9147104525164574,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia,Ottowia sp. oral taxon 894,Ottowia sp. oral taxon 894
851,184090,0.8304763575214027,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Fusobacterium nucleatum
28216,180992,0.8165004992151325,Bacteria,Proteobacteria,Betaproteobacteria, , , , ,Betaproteobacteria
28132,178666,0.8060073273557442,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella melaninogenica,Prevotella melaninogenica
1224,168735,0.761206084993068,Bacteria,Proteobacteria, , , , , ,Proteobacteria
1017,160783,0.7253326100894328,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga gingivalis,Capnocytophaga gingivalis
976,158130,0.7133642588671814,Bacteria,Bacteroidetes, , , , , ,Bacteroidetes
575614,153499,0.692472651437763,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. oral taxon 299,Prevotella sp. oral taxon 299 str. F0039
